"","Row.names","ADCYAP1","ASAH1","BRAF","CREB1","CREB5","FRS2","MAP2K4","MAPK1","MAPK10","MAPK8","MAPK9","NTRK1","PIK3CD","PIK3R1","SHC1","TH","TUBA1A","EFS_fct"
"119","PALFRE",6.596337,8.545057,8.265548,8.588095,8.557909,6.694081,7.964213,9.079194,5.810883,7.168744,7.755348,8.291675,8.13555,9.282235,8.502267,8.652569,11.44046,"EFS_L5"
"120","PALFSE",9.151277,9.808665,9.032577,8.897481,7.98773,7.567052,8.832743,9.55443,7.379788,8.171603,8.708296,9.370642,7.306159,10.306227,9.162872,9.822247,12.183373,"EFS_G5"
"121","PALGFF",5.981148,9.230398,8.654972,8.656102,8.834165,6.876877,8.387683,9.167553,7.274703,8.228015,8.707204,8.598752,7.068576,9.53998,8.697587,9.036217,12.278933,"EFS_L5"
"122","PALHVD",5.061469,8.294883,8.832384,8.533268,7.359292,6.370099,8.181446,8.360432,6.849169,7.826981,7.906301,8.015373,6.88904,8.600046,8.558679,10.347401,11.653284,"EFS_L5"
"123","PALIIN",8.978558,8.659103,9.157653,9.214235,7.901889,7.494166,8.830402,8.688139,6.505766,8.722169,7.571408,6.80705,6.761283,8.568444,8.836598,8.62671,11.351294,"EFS_L5"
"124","PALKKV",10.370847,9.1548,9.054673,8.65081,8.939945,6.967384,8.554454,9.313855,7.043714,8.656363,8.097888,8.792257,7.282762,9.199634,8.636729,9.763292,12.56203,"EFS_G5"
"125","PALKUC",6.781187,8.676283,7.56286,7.463328,6.223297,6.715624,7.484908,8.18834,5.743232,7.263822,7.597832,7.095732,6.892981,7.618729,8.871716,7.367186,11.251283,"EFS_G5"
"126","PALLJJ",10.100149,9.243244,8.560838,8.429557,6.831742,6.686452,9.019886,9.451991,7.430427,7.130236,8.800329,8.195668,6.973059,8.176102,9.606273,10.750482,12.08075,"EFS_G5"
"127","PALNFE",8.044267,8.830986,8.771118,8.485446,8.677512,6.995433,8.467863,8.867446,7.498416,8.478078,8.497955,9.342231,7.041521,9.270299,8.96558,9.526456,11.961913,"EFS_G5"
"128","PALNHZ",4.841901,8.27658,8.862217,8.516562,8.113802,6.670886,7.34188,8.863132,7.109991,8.299778,7.825574,6.815413,6.747061,7.260221,7.868703,7.030848,11.746157,"EFS_L5"
"129","PALNVP",5.091959,8.548805,8.621152,8.732515,9.040453,7.296182,8.916611,9.360111,7.653138,8.398574,8.577779,8.5638,6.979933,10.042348,9.103757,10.483752,12.336482,"EFS_G5"
